weight_Logistic,weight_ExtraTrees,weight_XGBoost,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece,selection
0.2,0.7,0.1,0.7673666666666666,0.4511901581644351,0.4929881080551248,0.8040123456790124,0.032846715328467155,0.6421052631578947,0.9234649820479025,0.0371900826446281,0.35724743777452417,0.7583916946999204,0.5905653714962612,0.3313760130301731,0.08609955033983994,
0.3,0.7,0.0,0.7650333333333333,0.45112958482055937,0.4937874253596141,0.800846786957898,0.0364963503649635,0.6440191387559808,0.9243240774570698,0.03690036900369004,0.35599047870933614,0.7600114949594888,0.6100509720707831,0.3402132758096945,0.09856464568829777,
0.2,0.5,0.3,0.7594666666666666,0.4509633440440218,0.49856908566481567,0.790400443178221,0.03832116788321168,0.6669856459330143,0.92743058779831,0.03716814159292035,0.3530454603013803,0.7600316677881865,0.6056672185162232,0.34076018572876393,0.07974119774153236,
0.0,0.8,0.2,0.7724333333333333,0.4508495635371203,0.4883452874919274,0.8133507439062995,0.029197080291970802,0.622488038277512,0.9195222331573768,0.037296037296037296,0.3605376195094915,0.7494913315899637,0.5517962011752345,0.3153015829027376,0.05943745869979214,
0.1,0.8,0.1,0.7715666666666666,0.4507757569936248,0.48920034175828775,0.8116096866096866,0.029197080291970802,0.6267942583732058,0.9207667444783624,0.03524229074889868,0.3603851444291609,0.7539344525883376,0.5667060961214171,0.3206353645465335,0.07381742964675705,
0.3,0.5,0.2,0.7572666666666666,0.45071279737595965,0.4989552773612476,0.7876701487812598,0.041970802919708027,0.6672248803827752,0.9277158969100993,0.038917089678511,0.35072937625754524,0.7624981237948726,0.6249895050265465,0.34929445964709327,0.09272336388977526,
0.5,0.4,0.1,0.7432,0.4506230506538753,0.5059054672787403,0.7685580880025324,0.07116788321167883,0.6779904306220096,0.9330354998318682,0.0377906976744186,0.34768740031897927,0.7652308729357884,0.6774270958588279,0.37719578118401126,0.10808549093514128,
0.1,0.9,0.0,0.7738,0.45048119899569977,0.4854212988146768,0.8173472617917062,0.03102189781021898,0.6078947368421053,0.917962847746867,0.037527593818984545,0.36068133427963095,0.7515916478527697,0.5613853902713934,0.3176462959208967,0.07421632783260271,
0.4,0.3,0.3,0.7425333333333334,0.45017472482821264,0.5063816000313773,0.7666983222538778,0.06751824817518248,0.6849282296650717,0.9328839672604718,0.04017372421281216,0.34456613310867734,0.764411872109149,0.664936708540894,0.3714016357708193,0.0926474770686289,
0.0,0.9,0.1,0.7753666666666666,0.45014334876946877,0.4845848354204098,0.8194444444444444,0.02737226277372263,0.6069377990430622,0.9171796802338457,0.035046728971962614,0.3627913627913628,0.74746896205199,0.5467326570084414,0.3121610198467137,0.06073557646014633,
0.0,1.0,0.0,0.7775,0.4498968692547997,0.48129866290144313,0.8247467553023109,0.029197080291970802,0.5899521531100479,0.9152505159618847,0.03695150115473441,0.3629673241095084,0.7444866820704802,0.5475348684743767,0.30976226165249837,0.060755075848769685,
0.1,0.5,0.4,0.7598333333333334,0.4498018261768972,0.49612244143732026,0.792062361506806,0.0364963503649635,0.6598086124401914,0.9261555545273678,0.035398230088495575,0.35259524418307336,0.7565153552674952,0.5881205801627832,0.3340533995936547,0.0646424522019315,
0.0,0.5,0.5,0.7599333333333333,0.4495213483454539,0.49523024108118224,0.7927350427350427,0.0364963503649635,0.6564593301435406,0.9253152279340446,0.0353356890459364,0.35256327894128225,0.7516700873763352,0.5729967903350431,0.3291741012414965,0.04900340097408813,
0.3,0.4,0.3,0.7518,0.4490267324275623,0.500382202732767,0.779360557138335,0.043795620437956206,0.6779904306220096,0.9302413451093373,0.03488372093023256,0.3482000245730434,0.7627060639059186,0.6339679921547778,0.35494775885806107,0.08734974058998587,
0.5,0.5,0.0,0.7475666666666667,0.4489543775605714,0.49994034160594114,0.7761158594491928,0.058394160583941604,0.665311004784689,0.9304995493144836,0.033402922755741124,0.34924023609192517,0.7641783268056184,0.6686006586800196,0.3718454708344895,0.11194541366661595,
0.6,0.4,0.0,0.7335,0.4488913431108974,0.5072703003591154,0.758349161126939,0.09671532846715329,0.6667464114832536,0.9347868500634084,0.03566621803499327,0.3478532201697454,0.7650889556549979,0.7017610423735205,0.3910610240228858,0.11165837177483973,
0.1,0.4,0.5,0.7536666666666667,0.4486465042221142,0.49793010586823994,0.7831592276036721,0.041970802919708027,0.6686602870813397,0.9279819954988747,0.03560371517027864,0.3482432095689011,0.7563381034495128,0.5971780634605651,0.3400096876660476,0.058262610218974414,
0.5,0.3,0.2,0.7367333333333334,0.44844576279502074,0.5068662306023756,0.759417537195315,0.07481751824817519,0.6863636363636364,0.9351915018029432,0.0352536543422184,0.3450390859891762,0.7655765740680048,0.6874514682870395,0.3832878963948661,0.10136730689427924,
0.0,0.4,0.6,0.7538333333333334,0.44840782382825634,0.4971973951452758,0.7838319088319088,0.041970802919708027,0.6657894736842105,0.9277785583813405,0.03484848484848485,0.34835398673175616,0.7514457789093564,0.5820596379998773,0.33528188374459383,0.04254104324893188,
0.2,0.4,0.4,0.7524666666666666,0.44840756255966047,0.4987198168431361,0.780982905982906,0.041970802919708027,0.6732057416267943,0.9288874246987951,0.03484848484848485,0.3477508650519031,0.7599573489375772,0.6146921791619573,0.34656497937044684,0.07268814440035358,
0.3,0.3,0.4,0.745,0.44839531979742003,0.5026596286485161,0.7702200063311174,0.05474452554744526,0.6830143540669856,0.9316071599502249,0.03640776699029126,0.34472349673991787,0.7623426223908187,0.6440622970328135,0.36134286293052065,0.08000806042947724,
0.2,0.3,0.5,0.7455333333333334,0.44734871505182766,0.5005490657345355,0.7716049382716049,0.051094890510948905,0.6789473684210526,0.9304766903659875,0.03513174404015056,0.3441668687848654,0.7594460809539991,0.6248111467686382,0.353111577873701,0.06507497415246855,
0.6,0.3,0.1,0.7268333333333333,0.44687845681249433,0.5088840295891277,0.7485359290914847,0.10036496350364964,0.6777511961722488,0.9372739434177277,0.034310667498440424,0.34489895300706114,0.7658635168571436,0.7117211784406765,0.3970016448029304,0.10496021750492378,
0.2,0.2,0.6,0.7379,0.44651759023528453,0.5032249386054113,0.7613564419119975,0.06386861313868614,0.6844497607655502,0.932173828787365,0.03582395087001024,0.3413266523502744,0.7585426331799091,0.6361552182287872,0.36039998123851086,0.05609703041176111,
0.1,0.3,0.6,0.7456666666666667,0.44638556129358825,0.4985425326196658,0.772673314339981,0.04927007299270073,0.6736842105263158,0.9293260993717876,0.03413400758533502,0.3435403196291326,0.7557488938710151,0.6073224479068192,0.3467077806000909,0.049443829504774446,
0.5,0.2,0.3,0.7282666666666666,0.4463172925601988,0.5084136979101479,0.7486546375435265,0.08759124087591241,0.6889952153110048,0.936355537959022,0.035424354243542434,0.3412726626377533,0.7653207398372773,0.6988046775280604,0.39012181646703853,0.09187296424105042,
