model,fold,accuracy,macro_f1,balanced_accuracy,class_0_recall,class_1_recall,class_2_recall,class_0_precision,class_1_precision,class_2_precision,macro_roc_auc_ovr,multiclass_log_loss,multiclass_brier_score,multiclass_ece
XGBoost — engineered features,3,0.7023333333333334,0.42645460090784093,0.49069024235229214,0.7182429758607044,0.06363636363636363,0.6901913875598086,0.9396841832772457,0.024054982817869417,0.3125677139761647,0.7475373434078284,0.6689909100532532,0.390299612898593,0.012932034576932584
XGBoost — original features,3,0.6866666666666666,0.42682875256642117,0.5006433547984795,0.6978630787495054,0.10909090909090909,0.6949760765550239,0.9443105756358768,0.029339853300733496,0.3130387931034483,0.7526688173016985,0.6963395476341248,0.40533595978784903,0.019263784388701116
Logistic Regression,4,0.6401666666666667,0.42422471266576894,0.5244049118010338,0.6567075583696083,0.33636363636363636,0.5801435406698564,0.9518210496128477,0.03300624442462088,0.3484195402298851,0.7699197048024122,0.8581727620324722,0.48054559488478865,0.10878756282720627
ExtraTrees,4,0.7811666666666667,0.44373455260323813,0.4731529781391277,0.8314206569054214,0.00909090909090909,0.5789473684210527,0.9122883195831524,0.012048192771084338,0.3691838291380625,0.7458615895341115,0.5642600752379114,0.3098604582072704,0.0702378337379933
XGBoost — engineered features,4,0.7251666666666666,0.43758453946611375,0.49343394371095206,0.7475267115156312,0.05454545454545454,0.6782296650717703,0.9349170997277901,0.02120141342756184,0.3383054892601432,0.7596323963484762,0.6421811580657959,0.3690992456202035,0.027113809635241817
XGBoost — original features,4,0.7086666666666667,0.43351000744977736,0.49576692928493477,0.7289275821131777,0.09090909090909091,0.6674641148325359,0.9388379204892966,0.027777777777777776,0.32517482517482516,0.7537098089341808,0.672490656375885,0.38597455352187315,0.02853597444295882
Logistic Regression,5,0.6208333333333333,0.41163813591114984,0.4818169826480076,0.6373169766521567,0.23636363636363636,0.5717703349282297,0.9507083825265643,0.020933977455716585,0.34890510948905107,0.7395427896182961,0.8813899973289498,0.49564344827268797,0.07373790695697555
ExtraTrees,5,0.7741666666666667,0.44017547643424254,0.47138120420668894,0.8225168183616937,0.00909090909090909,0.5825358851674641,0.9160423093873953,0.009345794392523364,0.359409594095941,0.7157280727714225,0.5597713378565656,0.3196396511978673,0.06419014082603458
XGBoost — engineered features,5,0.7093333333333334,0.4266570726574553,0.48154177309301965,0.7305104867431738,0.045454545454545456,0.6686602870813397,0.9346835443037975,0.01524390243902439,0.3246225319396051,0.7250852190271292,0.6574891209602356,0.382230483981791,0.014991389160354938
XGBoost — original features,5,0.692,0.42214291955399225,0.4789779472604958,0.7089434111594777,0.05454545454545454,0.6734449760765551,0.9340458811261731,0.013953488372093023,0.3246828143021915,0.7230425543074954,0.6888362765312195,0.3990797366726044,0.02126342781384787
Logistic Regression,6,0.6195,0.4140845442995291,0.49360611909094776,0.6350148367952523,0.27522935779816515,0.5705741626794258,0.9530878859857482,0.023346303501945526,0.35412026726057905,0.750351064675879,0.882632052132395,0.49699035898677296,0.09407399086132136
ExtraTrees,6,0.7748333333333334,0.44737787200353796,0.476601627303993,0.8249258160237388,0.03669724770642202,0.5681818181818182,0.9156785243741765,0.03418803418803419,0.35741158765989467,0.7306303773438775,0.5653863089464926,0.32028542292953605,0.06788354022719802
XGBoost — engineered features,6,0.7096666666666667,0.43362026907461154,0.4977294157982109,0.7260138476755688,0.07339449541284404,0.69377990430622,0.9403023315398411,0.02476780185758514,0.3269447576099211,0.7374856145336744,0.6668820381164551,0.3865617357253871,0.012089328606923437
