variable,dtype,non_missing,missing,missing_pct,unique_non_missing
MCQ160D,float64,5719,4252,0.4264366663323639,4
MCQ160E,float64,5719,4252,0.4264366663323639,3
MCQ160F,float64,5719,4252,0.4264366663323639,3
MCQ160G,float64,5719,4252,0.4264366663323639,3
MCQ160K,float64,5719,4252,0.4264366663323639,3
MCQ160L,float64,5719,4252,0.4264366663323639,3
MCQ160M,float64,5719,4252,0.4264366663323639,3
MCQ160N,float64,5719,4252,0.4264366663323639,3
MCQ160O,float64,5719,4252,0.4264366663323639,3
MCQ220,float64,5719,4252,0.4264366663323639,3
MCQ300A,float64,5719,4252,0.4264366663323639,4
MCQ300C,float64,5719,4252,0.4264366663323639,4
AIALANGA,float64,5962,4009,0.40206599137498744,3
SMQ020,float64,5992,3979,0.3990572660716077,4
SMQ890,float64,5992,3979,0.3990572660716077,4
SMQ900,float64,5992,3979,0.3990572660716077,4
SMQ910,float64,5992,3979,0.3990572660716077,4
DIQ160,float64,6045,3926,0.39374185136897,3
DMQMILIZ,float64,6149,3822,0.3833116036505867,2
DIQ170,float64,6186,3785,0.37960084244308495,3
DIQ172,float64,6186,3785,0.37960084244308495,4
DIQ180,float64,6186,3785,0.37960084244308495,4
LBXGH,float64,6326,3645,0.3655601243606459,104
BPQ020,float64,6327,3644,0.3654598335171999,3
BPQ080,float64,6327,3644,0.3654598335171999,3
CBQ505,float64,6327,3644,0.3654598335171999,3
CBQ550,float64,6327,3644,0.3654598335171999,3
CBQ596,float64,6327,3644,0.3654598335171999,3
DBQ700,float64,6327,3644,0.3654598335171999,6
MCQ080,float64,6327,3644,0.3654598335171999,3
MCQ365A,float64,6327,3644,0.3654598335171999,3
MCQ365B,float64,6327,3644,0.3654598335171999,3
MCQ365C,float64,6327,3644,0.3654598335171999,3
MCQ365D,float64,6327,3644,0.3654598335171999,3
MCQ370A,float64,6327,3644,0.3654598335171999,3
MCQ370B,float64,6327,3644,0.3654598335171999,3
MCQ370C,float64,6327,3644,0.3654598335171999,3
MCQ370D,float64,6327,3644,0.3654598335171999,3
IND310,float64,6939,3032,0.30408183732825195,7
PAD680,float64,6951,3020,0.3028783472069,45
PAQ650,float64,6963,3008,0.3016748570855481,3
PAQ665,float64,6963,3008,0.3016748570855481,3
PAQ620,float64,6965,3006,0.3014742753986561,3
PAQ635,float64,6965,3006,0.3014742753986561,3
PAQ605,float64,6966,3005,0.3013739845552101,3
MIALANG,float64,6977,2994,0.30027078527730416,2
MIAINTRP,float64,6978,2993,0.3001704944338582,2
MIAPROXY,float64,6978,2993,0.3001704944338582,2
BMDAVSAD,float64,6983,2988,0.2996690402166282,276
BMXSAD1,float64,6983,2988,0.2996690402166282,275
BMXSAD2,float64,6983,2988,0.2996690402166282,272
SMAQUEX2,float64,7001,2970,0.29786380503460036,2
SMD100BR,object,7001,2970,0.29786380503460036,115
SMDUPCA,object,7001,2970,0.29786380503460036,193
BMXLEG,float64,7110,2861,0.2869321030989871,240
BPAEN1,float64,7145,2826,0.2834219235783773,2
BPXDI1,float64,7145,2826,0.2834219235783773,54
BPXSY1,float64,7145,2826,0.2834219235783773,72
DBD900,float64,7217,2754,0.2762009828502658,24
BPAEN3,float64,7276,2695,0.27028382308695215,2
BPXDI3,float64,7276,2695,0.27028382308695215,56
BPXSY3,float64,7276,2695,0.27028382308695215,71
BPAEN2,float64,7313,2658,0.2665730618794504,2
BPXDI2,float64,7313,2658,0.2665730618794504,55
BPXSY2,float64,7313,2658,0.2665730618794504,70
BPXML1,float64,7371,2600,0.2607561929595828,16
BPXPLS,float64,7376,2595,0.26025473874235283,51
BPXPTY,float64,7376,2595,0.26025473874235283,2
BPACSZ,float64,7386,2585,0.2592518303078929,5
BPAARM,float64,7398,2573,0.258048340186541,3
BMXWAIST,float64,8313,1658,0.16628221843345703,1029
MCQ092,float64,8366,1605,0.16096680373081937,3
MCQ203,float64,8366,1605,0.16096680373081937,3
MCQ300B,float64,8366,1605,0.16096680373081937,3
INDFMMPI,float64,8448,1523,0.1527429545682479,404
HIQ210,float64,8650,1321,0.13248420419215726,3
HIQ270,float64,8650,1321,0.13248420419215726,4
BMXBMI,float64,8756,1215,0.12185337478688196,429
BMXHT,float64,8769,1202,0.12054959382208405,1052
INDFMPIR,float64,8919,1052,0.10550596730518504,459
BMXARMC,float64,8976,995,0.09978938922876342,387
BMXARML,float64,8976,995,0.09978938922876342,345
PAQ710,float64,9209,762,0.07642162270584696,9
PAQ715,float64,9209,762,0.07642162270584696,8
BPXPULS,float64,9314,657,0.06589108414401765,2
INDFMMPC,float64,9419,552,0.05536054558218834,5
IND235,float64,9420,551,0.055260254738742354,14
INQ300,float64,9420,551,0.055260254738742354,4
BMXWT,float64,9445,526,0.05275298365259252,1382
DBD905,float64,9478,493,0.04944338581887474,34
DBD910,float64,9482,489,0.049042222445090766,40
DBD895,float64,9494,477,0.04783873232373884,24
BMDSTATS,float64,9544,427,0.04282419015143917,4
RIDEXMON,float64,9544,427,0.04282419015143917,2
DBQ197,float64,9575,396,0.03971517400461338,5
DIQ010,float64,9575,396,0.03971517400461338,4
DIQ050,float64,9575,396,0.03971517400461338,4
DMDHRBR4,float64,9575,396,0.03971517400461338,4
DMDHREDU,float64,9575,396,0.03971517400461338,6
MCQ010,float64,9575,396,0.03971517400461338,4
MCQ053,float64,9575,396,0.03971517400461338,4
INDHHIN2,float64,9626,345,0.03460034098886772,16
FIAINTRP,float64,9642,329,0.03299568749373182,2
FIALANG,float64,9642,329,0.03299568749373182,2
FIAPROXY,float64,9642,329,0.03299568749373182,2
INDFMIN2,float64,9642,329,0.03299568749373182,16
INQ012,float64,9642,329,0.03299568749373182,4
INQ020,float64,9642,329,0.03299568749373182,4
INQ030,float64,9642,329,0.03299568749373182,4
INQ060,float64,9642,329,0.03299568749373182,4
INQ080,float64,9642,329,0.03299568749373182,4
INQ090,float64,9642,329,0.03299568749373182,4
INQ132,float64,9642,329,0.03299568749373182,4
INQ140,float64,9642,329,0.03299568749373182,4
INQ150,float64,9642,329,0.03299568749373182,4
INQ320,float64,9642,329,0.03299568749373182,11
DMDHRMAR,float64,9909,62,0.006218032293651589,8
DMDCITZN,float64,9969,2,0.00020058168689198675,4
SIAPROXY,float64,9970,1,0.00010029084344599338,2
DMDBORN4,float64,9971,0,0.0,3
DMDFMSIZ,float64,9971,0,0.0,7
DMDHHSIZ,float64,9971,0,0.0,7
DMDHHSZA,float64,9971,0,0.0,4
DMDHHSZB,float64,9971,0,0.0,5
DMDHHSZE,float64,9971,0,0.0,4
DMDHRAGE,float64,9971,0,0.0,63
DMDHRGND,float64,9971,0,0.0,2
HIQ011,float64,9971,0,0.0,4
RIAGENDR,float64,9971,0,0.0,2
RIDAGEYR,float64,9971,0,0.0,81
RIDRETH1,float64,9971,0,0.0,5
RIDRETH3,float64,9971,0,0.0,6
RIDSTATR,float64,9971,0,0.0,2
SDDSRVYR,float64,9971,0,0.0,1
SDMVPSU,float64,9971,0,0.0,2
SDMVSTRA,float64,9971,0,0.0,15
SEQN,float64,9971,0,0.0,9971
SIAINTRP,float64,9971,0,0.0,2
SIALANG,float64,9971,0,0.0,2
WTINT2YR,float64,9971,0,0.0,7213
WTMEC2YR,float64,9971,0,0.0,7809
