2026-06-20 07:31:34,128 | INFO | nhanes_feasibility.download_nhanes | Downloaded HIQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/HIQ_I.XPT
2026-06-20 07:31:35,934 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for INQ_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:31:38,443 | INFO | nhanes_feasibility.download_nhanes | Downloaded INQ_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/INQ_I.XPT
2026-06-20 07:31:39,612 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for GHB_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:31:40,961 | INFO | nhanes_feasibility.download_nhanes | Downloaded GHB_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/GHB_I.XPT
2026-06-20 07:31:42,323 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for GLU_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:31:44,459 | INFO | nhanes_feasibility.download_nhanes | Downloaded GLU_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/GLU_I.XPT
2026-06-20 07:31:45,967 | WARNING | nhanes_feasibility.download_nhanes | Download attempt failed for OGTT_I.XPT: Response was not an XPT file (content-type=text/html; charset=utf-8)
2026-06-20 07:31:48,001 | INFO | nhanes_feasibility.download_nhanes | Downloaded OGTT_I.XPT from https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/OGTT_I.XPT
2026-06-20 07:31:48,211 | WARNING | nhanes_feasibility.load_merge_nhanes | Missing file: D:\PGDBA\MyNotes\SEM-1\CDS\diabetes_012_health_indicators_BRFSS2015.csv\25BM6JP22\data\raw\nhanes\MCQ_I.XPT
2026-06-20 07:31:48,516 | INFO | nhanes_feasibility | Merging 14 readable NHANES components on SEQN
2026-06-20 07:31:56,138 | INFO | nhanes_feasibility | Fitting models with 4289 train rows and 60 Tier-1 features
2026-06-20 07:33:53,741 | INFO | nhanes_feasibility | Downloading/validating official NHANES 2015-2016 files
2026-06-20 07:33:54,235 | INFO | nhanes_feasibility | Merging 15 readable NHANES components on SEQN
2026-06-20 07:34:02,680 | INFO | nhanes_feasibility | Fitting models with 4289 train rows and 65 Tier-1 features
2026-06-20 07:34:51,371 | INFO | nhanes_feasibility | Downloading/validating official NHANES 2015-2016 files
2026-06-20 07:34:51,829 | INFO | nhanes_feasibility | Merging 15 readable NHANES components on SEQN
2026-06-20 07:35:00,168 | INFO | nhanes_feasibility | Fitting models with 4289 train rows and 65 Tier-1 features
2026-07-24 13:43:31,679 | INFO | nhanes_feasibility | Downloading/validating official NHANES 2015-2016 files
2026-07-24 13:43:32,528 | INFO | nhanes_feasibility | Merging 15 readable NHANES components on SEQN
2026-07-24 13:43:42,172 | INFO | nhanes_feasibility | Fitting models with 4289 train rows and 65 Tier-1 features
